date,entity_id,primary_metric,secondary_metric,value_pool,quality_score,risk_score
2026-01-01,PRO001,45.1,61.7,36069,65.3,67.8
2026-01-01,PRO002,87.4,35.1,127516,70.9,8.0
2026-01-01,PRO003,70.1,75.0,118516,75.4,13.8
2026-01-01,PRO004,61.2,68.4,111053,78.3,33.8
2026-01-01,PRO005,74.1,49.2,15552,81.2,45.4
2026-01-01,PRO006,47.0,81.6,33703,62.4,73.9
2026-01-01,PRO007,79.3,56.4,120627,95.4,88.6
2026-01-01,PRO008,51.9,64.4,41107,98.2,58.7
2026-01-01,PRO009,93.0,66.8,148750,75.1,57.5
2026-01-01,PRO010,41.2,75.6,133584,72.3,34.9
2026-01-01,PRO011,79.8,26.9,21454,63.8,65.8
2026-01-01,PRO012,92.4,39.0,25662,94.7,13.7
2026-01-01,PRO013,77.2,70.4,160577,84.2,30.4
2026-01-01,PRO014,42.5,48.4,21942,83.0,90.1
2026-01-01,PRO015,55.6,43.1,125946,74.4,43.7
2026-01-01,PRO016,52.4,26.7,97786,79.9,86.4
2026-01-01,PRO017,45.2,41.0,180656,96.2,34.0
2026-01-01,PRO018,67.0,58.9,138614,75.9,69.0
2026-01-01,PRO019,55.7,18.5,50631,98.6,43.7
2026-01-01,PRO020,56.2,81.9,16593,74.3,25.6
2026-01-01,PRO021,86.2,35.4,109469,90.4,84.7
2026-01-01,PRO022,68.4,40.3,184598,80.5,82.4
2026-01-01,PRO023,71.2,41.0,111489,71.7,30.6
2026-01-01,PRO024,66.3,63.0,122648,76.8,26.8
2026-01-01,PRO025,75.2,43.9,143280,68.3,31.6
2026-01-01,PRO026,56.7,36.0,147513,62.6,63.3
2026-01-01,PRO027,66.0,29.0,76365,71.0,89.2
2026-01-01,PRO028,95.6,62.9,18053,75.6,93.8
2026-01-01,PRO029,87.6,46.7,147791,78.5,42.0
2026-01-01,PRO030,54.9,75.7,149316,69.2,42.6
2026-01-01,PRO031,44.3,22.4,139568,93.7,79.7
2026-01-01,PRO032,68.1,21.6,9027,79.0,34.4
2026-01-01,PRO033,88.8,18.3,13109,96.8,75.4
2026-01-01,PRO034,90.7,80.1,138187,93.7,16.5
2026-01-01,PRO035,47.3,36.9,45333,62.3,11.2
2026-01-01,PRO036,76.3,36.7,35379,78.9,31.9
2026-01-02,PRO001,54.2,43.8,53963,82.0,24.6
2026-01-02,PRO002,92.2,67.6,125912,96.6,89.9
2026-01-02,PRO003,43.9,18.5,27002,64.9,69.0
2026-01-02,PRO004,81.6,72.2,17116,90.1,36.5
2026-01-02,PRO005,93.4,61.9,15363,88.0,73.6
2026-01-02,PRO006,83.2,28.3,69049,71.8,52.3
2026-01-02,PRO007,96.1,49.2,129782,69.5,29.0
2026-01-02,PRO008,63.0,21.8,98159,85.7,24.6
2026-01-02,PRO009,51.5,27.6,52830,65.8,69.6
2026-01-02,PRO010,63.8,36.8,3614,93.6,59.7
2026-01-02,PRO011,48.8,51.5,26753,64.3,50.0
2026-01-02,PRO012,88.2,45.9,45818,66.2,16.7
2026-01-02,PRO013,71.3,43.0,140594,70.9,81.5
2026-01-02,PRO014,57.7,67.6,172788,68.2,75.5
2026-01-02,PRO015,65.7,36.1,17981,66.6,37.2
2026-01-02,PRO016,86.4,60.9,41610,62.2,52.5
2026-01-02,PRO017,78.1,25.1,86087,82.7,40.5
2026-01-02,PRO018,80.5,49.7,16952,68.5,43.1
2026-01-02,PRO019,94.4,38.9,101201,82.0,42.9
2026-01-02,PRO020,80.3,49.7,15248,68.6,87.7
2026-01-02,PRO021,42.4,79.4,176530,96.1,75.4
2026-01-02,PRO022,84.8,56.4,70781,69.4,34.8
2026-01-02,PRO023,63.6,35.0,93933,67.9,58.7
2026-01-02,PRO024,56.7,37.0,32207,98.6,55.2
2026-01-02,PRO025,93.7,57.7,147545,80.8,82.0
2026-01-02,PRO026,63.2,76.5,49091,91.3,71.8
2026-01-02,PRO027,67.2,63.9,168686,74.5,72.7
2026-01-02,PRO028,91.3,46.4,77483,77.4,11.8
2026-01-02,PRO029,87.5,29.7,71972,80.5,12.5
2026-01-02,PRO030,51.4,20.3,5759,69.1,18.9
2026-01-02,PRO031,84.3,27.3,109532,82.4,80.0
2026-01-02,PRO032,50.6,38.9,5556,80.0,54.9
2026-01-02,PRO033,66.1,48.3,34453,64.3,68.4
2026-01-02,PRO034,70.2,36.2,137429,66.6,66.9
2026-01-02,PRO035,58.7,23.4,40884,96.4,17.5
2026-01-02,PRO036,84.5,48.5,105966,93.9,58.1
2026-01-03,PRO001,46.9,46.5,83135,81.4,88.5
2026-01-03,PRO002,61.7,41.4,162319,96.5,14.1
2026-01-03,PRO003,86.6,50.1,112370,71.5,41.5
2026-01-03,PRO004,61.3,21.1,31724,91.0,71.8
2026-01-03,PRO005,92.1,62.2,163668,90.7,26.4
2026-01-03,PRO006,58.7,26.3,166229,74.2,50.4
2026-01-03,PRO007,81.1,39.5,150242,64.3,43.2
2026-01-03,PRO008,47.3,68.2,112356,88.0,18.2
2026-01-03,PRO009,93.0,76.3,152848,71.8,77.1
2026-01-03,PRO010,43.2,70.6,90487,72.5,11.3
2026-01-03,PRO011,60.6,81.7,148396,92.5,70.3
2026-01-03,PRO012,64.2,77.9,142411,72.5,87.1
2026-01-03,PRO013,80.5,24.0,155076,66.3,67.9
2026-01-03,PRO014,47.8,78.9,28711,91.3,18.4
2026-01-03,PRO015,57.7,49.0,136262,77.8,74.7
2026-01-03,PRO016,58.9,23.6,125228,86.6,74.0
2026-01-03,PRO017,65.5,24.3,171397,70.9,71.5
2026-01-03,PRO018,96.8,55.8,64335,83.2,32.7
2026-01-03,PRO019,84.0,29.8,21822,75.8,9.0
2026-01-03,PRO020,59.0,78.7,169582,64.4,54.7
2026-01-03,PRO021,80.3,33.1,128664,80.6,91.7
2026-01-03,PRO022,57.7,35.8,75389,96.5,77.8
2026-01-03,PRO023,87.6,25.4,53831,77.4,26.7
2026-01-03,PRO024,49.0,59.9,80229,70.5,81.7
2026-01-03,PRO025,79.2,55.3,19821,72.1,49.6
2026-01-03,PRO026,53.4,59.3,162046,73.9,77.0
2026-01-03,PRO027,82.4,20.9,28283,84.6,45.4
2026-01-03,PRO028,85.9,49.6,145141,70.6,47.1
2026-01-03,PRO029,56.0,22.4,135234,96.1,28.3
2026-01-03,PRO030,52.7,71.4,16664,75.1,72.3
2026-01-03,PRO031,72.4,38.9,173208,96.1,17.1
2026-01-03,PRO032,43.6,34.2,88075,85.8,21.2
2026-01-03,PRO033,65.8,40.3,128456,67.2,67.4
2026-01-03,PRO034,59.4,31.5,181822,72.6,71.0
2026-01-03,PRO035,92.4,66.6,96443,96.1,37.6
2026-01-03,PRO036,46.8,47.8,162455,65.6,19.5
2026-01-04,PRO001,80.2,82.4,102380,65.1,25.6
2026-01-04,PRO002,58.1,81.5,126861,71.6,73.3
2026-01-04,PRO003,74.0,24.4,104453,69.6,48.6
2026-01-04,PRO004,45.1,76.4,164405,89.7,64.1
2026-01-04,PRO005,76.0,63.6,169135,90.1,49.5
2026-01-04,PRO006,83.0,35.1,27255,90.9,83.8
2026-01-04,PRO007,57.8,31.6,86055,81.4,25.5
2026-01-04,PRO008,70.4,56.5,66134,68.1,53.0
2026-01-04,PRO009,88.2,62.4,112506,67.5,59.3
2026-01-04,PRO010,52.9,49.5,169714,70.2,17.2
2026-01-04,PRO011,90.5,47.6,177512,92.7,18.7
2026-01-04,PRO012,57.1,49.3,154284,85.2,88.1
2026-01-04,PRO013,84.5,76.1,94624,97.3,36.9
2026-01-04,PRO014,51.1,60.5,12536,75.4,30.9
2026-01-04,PRO015,70.6,34.2,143264,86.9,39.0
2026-01-04,PRO016,55.2,32.4,69259,96.3,43.3
2026-01-04,PRO017,48.5,34.2,96895,62.9,86.3
2026-01-04,PRO018,94.7,70.2,75713,70.8,34.8
2026-01-04,PRO019,50.4,81.6,131547,86.4,56.6
2026-01-04,PRO020,85.7,18.5,34549,64.2,13.9
2026-01-04,PRO021,42.4,80.3,44529,90.7,30.8
2026-01-04,PRO022,46.3,27.0,171522,91.0,71.0
2026-01-04,PRO023,89.4,26.3,13972,96.8,62.0
2026-01-04,PRO024,42.4,40.1,99653,79.8,40.4
2026-01-04,PRO025,95.4,33.8,45032,70.1,52.9
2026-01-04,PRO026,48.0,31.2,172887,65.8,13.2
2026-01-04,PRO027,81.0,83.1,59923,95.5,71.1
2026-01-04,PRO028,57.4,18.1,44418,91.0,18.2
2026-01-04,PRO029,60.3,55.4,33630,76.2,36.1
2026-01-04,PRO030,52.6,35.8,36250,72.4,63.4
2026-01-04,PRO031,45.1,70.5,63239,82.6,66.2
2026-01-04,PRO032,51.0,76.6,73612,97.1,34.3
2026-01-04,PRO033,51.3,71.8,179571,71.3,15.9
2026-01-04,PRO034,58.0,74.0,55045,66.1,22.7
2026-01-04,PRO035,81.5,41.1,130038,71.5,55.4
2026-01-04,PRO036,55.3,33.5,94734,83.4,21.5
2026-01-05,PRO001,40.2,19.6,155485,80.4,45.2
2026-01-05,PRO002,45.1,82.1,167298,68.3,61.2
2026-01-05,PRO003,50.4,60.0,153547,91.7,28.3
2026-01-05,PRO004,58.3,49.0,181080,88.5,47.2
2026-01-05,PRO005,50.2,80.7,180957,85.7,32.4
2026-01-05,PRO006,58.5,53.1,117864,63.9,60.2
2026-01-05,PRO007,83.9,61.7,177206,63.8,32.2
2026-01-05,PRO008,73.7,72.3,104674,68.2,83.5
2026-01-05,PRO009,65.2,29.0,18872,77.1,49.2
2026-01-05,PRO010,84.7,19.3,123204,90.1,37.0
2026-01-05,PRO011,85.5,70.1,45901,79.9,18.1
2026-01-05,PRO012,70.1,36.4,83078,79.5,16.2
2026-01-05,PRO013,96.5,65.7,26499,78.0,77.2
2026-01-05,PRO014,81.8,37.6,83631,81.3,57.9
2026-01-05,PRO015,90.5,28.6,88591,81.4,68.8
2026-01-05,PRO016,89.8,57.0,166694,95.3,73.8
2026-01-05,PRO017,66.9,49.6,165082,82.1,75.6
2026-01-05,PRO018,73.1,38.5,13725,82.7,43.9
2026-01-05,PRO019,72.3,20.4,41394,78.4,11.6
2026-01-05,PRO020,52.0,44.8,135774,65.4,68.2
2026-01-05,PRO021,96.7,60.8,62285,73.6,71.9
2026-01-05,PRO022,58.3,75.9,10630,82.5,67.3
2026-01-05,PRO023,70.7,26.6,61189,66.7,18.0
2026-01-05,PRO024,53.7,68.1,173335,72.9,78.6
2026-01-05,PRO025,80.2,31.0,153269,84.5,80.8
2026-01-05,PRO026,82.8,80.0,140955,92.7,37.2
2026-01-05,PRO027,51.6,34.8,31207,67.8,32.1
2026-01-05,PRO028,63.5,46.3,61218,72.4,69.2
2026-01-05,PRO029,80.7,23.1,124756,72.2,27.9
2026-01-05,PRO030,77.0,78.9,123180,82.6,19.8
2026-01-05,PRO031,62.4,76.0,184260,94.2,16.4
2026-01-05,PRO032,81.0,81.0,5073,75.1,81.3
2026-01-05,PRO033,59.6,50.7,92242,72.2,41.8
2026-01-05,PRO034,62.1,24.2,10686,77.3,46.1
2026-01-05,PRO035,64.6,45.2,69476,76.2,17.7
2026-01-05,PRO036,81.8,38.7,11113,65.3,82.2
2026-01-06,PRO001,41.4,61.6,93525,93.1,43.7
2026-01-06,PRO002,77.9,21.4,11924,82.9,8.6
2026-01-06,PRO003,90.7,36.6,79012,90.7,21.4
2026-01-06,PRO004,51.5,52.1,96020,88.2,36.4
2026-01-06,PRO005,56.1,65.9,122710,79.1,74.5
2026-01-06,PRO006,57.9,67.9,11625,95.2,92.4
2026-01-06,PRO007,81.1,28.4,87390,94.4,15.9
2026-01-06,PRO008,86.6,60.9,176443,69.1,13.0
2026-01-06,PRO009,77.4,75.6,43448,93.6,71.3
2026-01-06,PRO010,62.6,64.9,135573,92.0,59.7
2026-01-06,PRO011,76.2,76.2,61134,75.6,19.5
2026-01-06,PRO012,93.6,26.4,179076,83.2,76.9
2026-01-06,PRO013,68.9,66.1,48381,66.7,63.1
2026-01-06,PRO014,42.3,32.7,83255,65.4,29.2
2026-01-06,PRO015,88.0,80.1,30958,67.8,19.1
2026-01-06,PRO016,62.3,29.1,42149,62.2,78.9
2026-01-06,PRO017,40.6,57.6,179144,93.1,53.7
2026-01-06,PRO018,79.6,73.9,128089,83.9,79.8
2026-01-06,PRO019,74.9,54.7,162179,70.2,46.6
2026-01-06,PRO020,75.5,67.7,57731,81.3,82.5
2026-01-06,PRO021,87.4,30.9,31902,87.1,90.4
2026-01-06,PRO022,85.4,46.6,135553,91.6,71.9
2026-01-06,PRO023,52.3,65.3,56010,75.3,40.6
2026-01-06,PRO024,89.0,57.5,34859,84.8,35.5
2026-01-06,PRO025,55.9,70.5,2365,95.8,88.3
2026-01-06,PRO026,41.6,44.2,140126,79.3,69.1
2026-01-06,PRO027,51.3,67.2,124195,83.9,20.1
2026-01-06,PRO028,40.8,76.8,22916,64.0,70.5
2026-01-06,PRO029,92.0,25.0,157260,95.4,34.5
2026-01-06,PRO030,74.9,25.6,22149,96.2,45.7
2026-01-06,PRO031,45.5,31.6,47657,66.5,89.7
2026-01-06,PRO032,67.6,72.0,67658,81.1,85.7
2026-01-06,PRO033,91.0,30.2,9816,71.6,16.6
2026-01-06,PRO034,61.0,56.6,85122,89.7,79.4
2026-01-06,PRO035,96.5,34.4,184408,65.3,71.2
2026-01-06,PRO036,48.2,27.2,182105,62.1,32.1
2026-01-07,PRO001,74.6,32.6,141022,80.1,53.0
2026-01-07,PRO002,66.8,66.6,166145,94.2,13.7
2026-01-07,PRO003,71.5,65.1,113000,82.5,44.2
2026-01-07,PRO004,45.9,39.9,111521,67.1,31.7
2026-01-07,PRO005,55.6,21.1,59027,68.7,71.9
2026-01-07,PRO006,46.4,20.3,87631,74.3,93.4
