event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,PRO012,handoff,Low,8196
EV0002,2026-01-02,PRO010,experiment,Medium,32661
EV0003,2026-01-03,PRO033,experiment,Medium,41354
EV0004,2026-01-04,PRO001,stakeholder_request,Medium,14298
EV0005,2026-01-05,PRO019,launch,Medium,46572
EV0006,2026-01-06,PRO026,qa_check,High,46280
EV0007,2026-01-07,PRO017,qa_check,Medium,23206
EV0008,2026-01-08,PRO031,stakeholder_request,Low,9787
EV0009,2026-01-09,PRO021,handoff,Low,7879
EV0010,2026-01-10,PRO015,qa_check,Medium,7192
EV0011,2026-01-11,PRO004,exception,Medium,31134
EV0012,2026-01-12,PRO034,experiment,Medium,24188
EV0013,2026-01-13,PRO018,exception,Medium,25796
EV0014,2026-01-14,PRO017,handoff,Medium,7144
EV0015,2026-01-15,PRO028,qa_check,High,47561
EV0016,2026-01-16,PRO002,qa_check,High,46674
EV0017,2026-01-17,PRO003,exception,High,35295
EV0018,2026-01-18,PRO014,launch,Medium,49420
EV0019,2026-01-19,PRO021,handoff,High,38062
EV0020,2026-01-20,PRO003,stakeholder_request,Medium,31065
EV0021,2026-01-21,PRO025,launch,High,33360
EV0022,2026-01-22,PRO028,qa_check,Low,554
EV0023,2026-01-23,PRO022,experiment,High,6083
EV0024,2026-01-24,PRO003,launch,High,2043
EV0025,2026-01-25,PRO002,qa_check,Low,30703
EV0026,2026-01-26,PRO011,handoff,High,5556
EV0027,2026-01-27,PRO025,stakeholder_request,Low,47660
EV0028,2026-01-28,PRO035,stakeholder_request,Low,6872
EV0029,2026-01-29,PRO007,handoff,Medium,3486
EV0030,2026-01-30,PRO011,qa_check,Low,27623
EV0031,2026-01-31,PRO013,exception,Medium,45635
EV0032,2026-02-01,PRO010,experiment,Low,15615
EV0033,2026-02-02,PRO036,exception,Medium,51039
EV0034,2026-02-03,PRO027,experiment,High,5865
EV0035,2026-02-04,PRO018,experiment,High,33378
EV0036,2026-02-05,PRO003,launch,Low,27357
EV0037,2026-02-06,PRO012,handoff,Medium,38577
EV0038,2026-02-07,PRO036,handoff,Low,13018
EV0039,2026-02-08,PRO009,launch,High,43507
EV0040,2026-02-09,PRO029,handoff,Low,21916
EV0041,2026-02-10,PRO020,launch,High,12421
EV0042,2026-02-11,PRO025,exception,Low,1167
EV0043,2026-02-12,PRO029,launch,Medium,8099
EV0044,2026-02-13,PRO032,handoff,Medium,14571
EV0045,2026-02-14,PRO022,launch,Medium,48715
EV0046,2026-02-15,PRO015,launch,Low,10961
EV0047,2026-02-16,PRO006,exception,High,19420
EV0048,2026-02-17,PRO030,exception,Low,7774
EV0049,2026-02-18,PRO021,qa_check,Medium,50647
EV0050,2026-02-19,PRO024,exception,Medium,20336
EV0051,2026-02-20,PRO002,launch,Low,24134
EV0052,2026-02-21,PRO028,qa_check,Medium,45872
EV0053,2026-02-22,PRO026,launch,Medium,9164
EV0054,2026-02-23,PRO018,qa_check,High,50729
EV0055,2026-02-24,PRO023,experiment,Medium,32526
EV0056,2026-02-25,PRO017,handoff,High,12324
EV0057,2026-02-26,PRO005,stakeholder_request,High,6194
EV0058,2026-02-27,PRO019,handoff,Low,15801
EV0059,2026-02-28,PRO015,handoff,High,18722
EV0060,2026-03-01,PRO002,handoff,High,44921
EV0061,2026-03-02,PRO023,qa_check,High,11864
EV0062,2026-03-03,PRO022,launch,High,33654
EV0063,2026-03-04,PRO036,experiment,Medium,26905
EV0064,2026-03-05,PRO030,handoff,Low,24004
EV0065,2026-03-06,PRO019,stakeholder_request,High,42218
EV0066,2026-03-07,PRO024,exception,Medium,18047
EV0067,2026-03-08,PRO030,handoff,Medium,20035
EV0068,2026-03-09,PRO003,stakeholder_request,High,39184
